feature,mean_importance
home.dest_mb,-2.7755575615628915e-18
ticket_ston,-2.7755575615628915e-18
ticket_17603,-2.7755575615628915e-18
ticket_4133,-2.7755575615628915e-18
ticket_3101278,-2.7755575615628915e-18
ticket_12749,-2.7755575615628915e-18
ticket_2662,-2.7755575615628915e-18
ticket_315153,-2.7755575615628915e-18
name_kelly,-2.7755575615628915e-18
name_col,-2.7755575615628915e-18
ticket_16966,-2.7755575615628915e-18
name_maria,-2.7755575615628915e-18
name_edith,-2.7755575615628915e-18
name_jr,-2.7755575615628915e-18
ticket_392096,-2.7755575615628915e-18
ticket_17572,-2.7755575615628915e-18
ticket_367230,-2.7755575615628915e-18
name_jean,-2.7755575615628915e-18
ticket_29105,0.0
name_frank,0.0
home.dest_mawr,0.0
name_elsie,0.0
name_richard,0.0
home.dest_ireland,0.0
ticket_17464,0.0
home.dest_mt,0.0
ticket_1601,0.0
home.dest_mi,0.0
name_charles,0.0
ticket_2343,0.0
parch,0.0
ticket_2627,0.0
ticket_382652,0.0
name_lefebre,0.0
name_louise,0.0
ticket_111361,0.0
home.dest_chicago,0.0
name_bertha,0.0
home.dest_aberdeen,0.0
home.dest_cornwall,0.0
ticket_paris,0.0
name_harris,0.0
name_alexander,0.0
name_dr,0.0
home.dest_park,2.7755575615628915e-18
name_goodwin,2.7755575615628915e-18
home.dest_stockholm,2.7755575615628915e-18
ticket_17760,2.7755575615628915e-18
home.dest_ks,2.7755575615628915e-18
ticket_376564,2.7755575615628915e-18
name_johan,2.7755575615628915e-18
name_michael,2.7755575615628915e-18
home.dest_hants,2.7755575615628915e-18
name_johnston,2.7755575615628915e-18
home.dest_altdorf,2.7755575615628915e-18
home.dest_ruotsinphytaa,2.7755575615628915e-18
name_kate,2.7755575615628915e-18
ticket_13695,2.7755575615628915e-18
name_sage,2.7755575615628915e-18
home.dest_ny,2.7755575615628915e-18
name_olof,2.7755575615628915e-18
ticket_349237,2.7755575615628915e-18
name_percival,2.7755575615628915e-18
home.dest_ri,5.551115123125783e-18
home.dest_rochester,5.551115123125783e-18
ticket_347072,5.551115123125783e-18
home.dest_york,5.551115123125783e-18
name_emily,5.551115123125783e-18
home.dest_bc,5.551115123125783e-18
name_george,5.551115123125783e-18
name_james,5.551115123125783e-18
name_marie,5.551115123125783e-18
home.dest_devon,5.551115123125783e-18
home.dest_liverpool,8.326672684688674e-18
home.dest_rockford,8.326672684688674e-18
home.dest_ottawa,8.326672684688674e-18
ticket_13236,8.326672684688674e-18
home.dest_sweden,8.326672684688674e-18
name_nils,8.326672684688674e-18
home.dest_harrow,8.326672684688674e-18
home.dest_minneapolis,8.326672684688674e-18
home.dest_milwaukee,8.326672684688674e-18
home.dest_ca,1.1102230246251566e-17
home.dest_kent,1.1102230246251566e-17
name_nora,1.3877787807814457e-17
ticket_110152,1.3877787807814457e-17
name_carl,1.3877787807814457e-17
home.dest_indianapolis,1.3877787807814457e-17
home.dest_philadelphia,1.3877787807814457e-17
home.dest_ma,1.6653345369377347e-17
name_august,1.6653345369377347e-17
ticket_17758,2.2204460492503132e-17
home.dest_oh,2.262846620254e-05
name_benjamin,5.155892826937403e-05
name_florence,0.00010009661890546807
cabin,0.00010088555419412726
home.dest_nj,0.0001252741963573778
home.dest_winnipeg,0.00016425986458335206
sibsp,0.00016935039359397552
name_rev,0.00019354020137672123
age,0.00022439939379584052
name_master,0.0002761905320152275
name_henry,0.0003293439732125425
home.dest_pa,0.0003759556569855438
name_arthur,0.00040206173128618796
home.dest_haverford,0.0005113970644101517
home.dest_akron,0.0005731546299174523
ticket_17608,0.0006013154530300213
home.dest_mn,0.0011356247673552505
name_william,0.0018328923327765728
name_mrs,0.00220293805131945
pclass,0.0031564517970602917
embarked,0.0034958178066848812
fare,0.007479270914432859
sex,0.018093921387724962
name_mr,0.021663649952233393
passenger_id,0.02329709012441067
boat,1.2371317242488753
