,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,dataset_rows,dataset_cols,missing_values,duplicated_rows,duplicated_cols,outliers,runtime,runtime_limit,failed,:balanced_accuracy,:rooted_mean_squared_error,relative_:balanced_accuracy,relative_:rooted_mean_squared_error
84,:autogluon,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,60.79408333333333,60,0,0.5,,0.857998457059737,
85,:mljar,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,61.59513333333334,60,0,0.582751630712068,,1.0,
86,:flaml,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,63.425666666666665,60,0,0.5056179775280899,,0.8676388891615318,
87,:lama,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,111.7508,60,0,0.0,,0.0,
88,:gama,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,118.5595,60,0,0.0,,0.0,
89,:tpot,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,119.14115,60,0,0.0,,0.0,
90,:autokeras,:tabular_classification,64e268ed7c5dc2a3c01b4d25,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,257.5579,60,0,0.5,,0.857998457059737,
91,:evalml,:tabular_classification,65001b7f6b572b20db7d3d8b,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,7.61435,240,0,0.0,,0.0,
92,:pycaret,:tabular_classification,65001b7f6b572b20db7d3d8b,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,13.55535,240,0,0.5,,0.857998457059737,
93,:gama,:tabular_classification,65001b7f6b572b20db7d3d8b,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,109.5483,240,0,0.0,,0.0,
94,:tpot,:tabular_classification,65001b7f6b572b20db7d3d8b,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,110.82753333333334,240,0,0.0,,0.0,
95,:lama,:tabular_classification,65001b7f6b572b20db7d3d8b,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,124.62018333333334,240,0,0.0,,0.0,
96,:autogluon,:tabular_classification,65001b7f6b572b20db7d3d8b,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,161.00435000000002,240,0,0.5,,0.857998457059737,
97,:flaml,:tabular_classification,65001b7f6b572b20db7d3d8b,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,247.7061,240,0,0.5,,0.857998457059737,
